"churn","monthly_bill","gender","millenial","clanmembership","platformsince","avatar","internet_connect","extrapro_account","contract_length","customer_support","payment_type"
"Yes",35.45,"Male","Gen Z","No",1,"No","DSL_16MB/S","No","Month-to-month","Yes","Electronic check"
"Yes",44.35,"Male","Gen Z","No",2,"Yes","DSL_16MB/S","No","Month-to-month","No","Electronic check"
"No",20.2,"Female","Gen Z","Yes",64,"Yes","Base DSL_16MB/S","No","Two year","No","PrePaid"
"No",19.6,"Male","Gen Z","No",57,"Yes","Base DSL_16MB/S","No","Two year","Yes","PrePaid"
"No",88.05,"Female","Millenial","Yes",72,"Yes","DSL_16MB/S","Yes","Two year","Yes","Credit card (automatic)"
"Yes",71.15,"Female","Gen Z","No",8,"Yes","DSL_16MB/S","Yes","Month-to-month","No","Electronic check"
"No",101.05,"Female","Gen Z","Yes",61,"Yes","Fiber optic","Yes","Two year","Yes","Bank transfer (automatic)"
"No",84.3,"Male","Gen Z","No",64,"Yes","Fiber optic","Yes","One year","Yes","Credit card (automatic)"
"No",19.6,"Male","Gen Z","No",3,"Yes","Base DSL_16MB/S","No","One year","No","PrePaid"
"No",64.5,"Male","Gen Z","No",30,"Yes","DSL_16MB/S","No","One year","No","Credit card (automatic)"
"No",68.55,"Female","Gen Z","Yes",8,"Yes","DSL_16MB/S","No","Month-to-month","Yes","Electronic check"
"Yes",95,"Male","Gen Z","No",7,"Yes","Fiber optic","Yes","Month-to-month","No","PrePaid"
"No",86.1,"Male","Gen Z","Yes",62,"Yes","DSL_16MB/S","No","Two year","No","Electronic check"
"No",80.9,"Female","Gen Z","Yes",14,"Yes","Fiber optic","No","Month-to-month","Yes","Bank transfer (automatic)"
"No",64.25,"Male","Gen Z","Yes",16,"Yes","DSL_16MB/S","No","Two year","No","PrePaid"
"No",56,"Female","Gen Z","No",13,"Yes","DSL_16MB/S","No","Month-to-month","Yes","Electronic check"
"No",69.7,"Female","Gen Z","No",2,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"No",20.6,"Female","Gen Z","Yes",11,"Yes","Base DSL_16MB/S","No","One year","No","PrePaid"
"No",19.9,"Male","Gen Z","Yes",69,"Yes","Base DSL_16MB/S","No","Two year","No","PrePaid"
"No",89.05,"Male","Gen Z","Yes",72,"Yes","DSL_16MB/S","Yes","Two year","Yes","Bank transfer (automatic)"
"No",20.4,"Female","Gen Z","Yes",16,"Yes","Base DSL_16MB/S","No","Month-to-month","No","Electronic check"
"No",84.25,"Male","Gen Z","Yes",43,"Yes","Fiber optic","No","One year","Yes","Bank transfer (automatic)"
"Yes",104.4,"Female","Gen Z","Yes",2,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",20.55,"Female","Gen Z","No",32,"Yes","Base DSL_16MB/S","No","One year","No","Bank transfer (automatic)"
"No",24.7,"Female","Gen Z","Yes",34,"Yes","Base DSL_16MB/S","Yes","Month-to-month","No","Electronic check"
"Yes",74.45,"Female","Millenial","No",15,"Yes","Fiber optic","Yes","Month-to-month","Yes","PrePaid"
"Yes",76.45,"Female","Millenial","No",7,"Yes","Fiber optic","No","Month-to-month","No","Bank transfer (automatic)"
"No",20.55,"Male","Gen Z","Yes",61,"Yes","Base DSL_16MB/S","No","One year","Yes","Credit card (automatic)"
"Yes",29.95,"Female","Gen Z","No",1,"No","DSL_16MB/S","No","Month-to-month","No","Bank transfer (automatic)"
"No",74.75,"Male","Gen Z","Yes",33,"Yes","DSL_16MB/S","No","One year","No","Credit card (automatic)"
"Yes",79.25,"Female","Gen Z","No",13,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"Yes",24.8,"Female","Gen Z","Yes",1,"No","DSL_16MB/S","No","Month-to-month","Yes","Electronic check"
"No",51.8,"Male","Gen Z","No",20,"Yes","DSL_16MB/S","No","Month-to-month","Yes","PrePaid"
"No",30.4,"Male","Gen Z","No",3,"No","DSL_16MB/S","No","Month-to-month","No","Electronic check"
"No",19.65,"Female","Gen Z","No",13,"Yes","Base DSL_16MB/S","No","One year","No","Electronic check"
"No",56.6,"Female","Gen Z","Yes",40,"Yes","DSL_16MB/S","Yes","Month-to-month","No","Credit card (automatic)"
"No",71.9,"Male","Gen Z","Yes",43,"Yes","DSL_16MB/S","Yes","One year","Yes","Credit card (automatic)"
"Yes",91,"Male","Gen Z","Yes",6,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"No",19.75,"Female","Gen Z","Yes",69,"Yes","Base DSL_16MB/S","No","Two year","No","Bank transfer (automatic)"
"No",109.7,"Female","Gen Z","Yes",72,"Yes","Fiber optic","Yes","Two year","No","Credit card (automatic)"
"No",96.55,"Female","Gen Z","Yes",20,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"No",111.35,"Male","Gen Z","No",59,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",20.75,"Male","Gen Z","No",1,"Yes","Base DSL_16MB/S","No","Month-to-month","No","PrePaid"
"No",101.9,"Female","Gen Z","Yes",27,"Yes","Fiber optic","No","One year","Yes","Credit card (automatic)"
"No",80.05,"Female","Gen Z","No",14,"Yes","Fiber optic","No","Month-to-month","Yes","Credit card (automatic)"
"No",105.55,"Male","Gen Z","Yes",71,"Yes","Fiber optic","Yes","Two year","No","Electronic check"
"No",68.85,"Male","Gen Z","No",44,"Yes","Fiber optic","No","Month-to-month","No","Credit card (automatic)"
"No",55.45,"Male","Gen Z","Yes",72,"No","DSL_16MB/S","No","Two year","Yes","Credit card (automatic)"
"Yes",79.9,"Male","Gen Z","No",1,"Yes","Fiber optic","No","Month-to-month","No","Electronic check"
"Yes",46,"Male","Gen Z","No",2,"Yes","DSL_16MB/S","No","Month-to-month","Yes","Credit card (automatic)"
"No",19.75,"Male","Gen Z","No",61,"Yes","Base DSL_16MB/S","No","Two year","No","PrePaid"
"No",86.8,"Male","Millenial","Yes",23,"Yes","Fiber optic","Yes","Month-to-month","No","Electronic check"
"No",84.2,"Male","Gen Z","Yes",65,"Yes","DSL_16MB/S","Yes","Two year","Yes","Bank transfer (automatic)"
"No",80,"Female","Gen Z","No",8,"Yes","Fiber optic","No","Month-to-month","Yes","Bank transfer (automatic)"
"Yes",70.15,"Female","Gen Z","No",4,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"No",20.2,"Male","Gen Z","Yes",1,"Yes","Base DSL_16MB/S","No","One year","Yes","Electronic check"
"No",19.35,"Female","Gen Z","No",12,"Yes","Base DSL_16MB/S","No","One year","Yes","Bank transfer (automatic)"
"No",50.6,"Male","Gen Z","No",24,"No","DSL_16MB/S","No","One year","Yes","PrePaid"
"No",81.15,"Female","Gen Z","Yes",31,"Yes","DSL_16MB/S","No","One year","Yes","PrePaid"
"Yes",55.2,"Female","Gen Z","Yes",1,"Yes","DSL_16MB/S","No","Month-to-month","No","PrePaid"
"No",89.9,"Male","Gen Z","No",30,"Yes","Fiber optic","Yes","Month-to-month","Yes","Credit card (automatic)"
"No",85.3,"Female","Gen Z","Yes",47,"Yes","DSL_16MB/S","Yes","Two year","Yes","Credit card (automatic)"
"No",93.5,"Male","Gen Z","No",50,"Yes","Fiber optic","No","Month-to-month","Yes","Credit card (automatic)"
"No",25.15,"Female","Gen Z","No",29,"Yes","Base DSL_16MB/S","Yes","Month-to-month","No","Electronic check"
"Yes",54.4,"Male","Gen Z","No",2,"Yes","DSL_16MB/S","Yes","Month-to-month","Yes","PrePaid"
"No",73.15,"Male","Gen Z","Yes",18,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",19.75,"Male","Gen Z","No",16,"Yes","Base DSL_16MB/S","No","Two year","No","PrePaid"
"No",86.6,"Female","Gen Z","No",72,"Yes","DSL_16MB/S","Yes","Two year","No","Bank transfer (automatic)"
"No",109.2,"Male","Gen Z","No",72,"Yes","Fiber optic","Yes","Two year","No","Bank transfer (automatic)"
"No",74.7,"Female","Gen Z","Yes",41,"Yes","DSL_16MB/S","No","One year","Yes","Credit card (automatic)"
"No",94.4,"Female","Millenial","Yes",65,"Yes","Fiber optic","No","Month-to-month","No","Electronic check"
"No",54.8,"Female","Millenial","No",13,"Yes","DSL_16MB/S","No","Month-to-month","Yes","Electronic check"
"No",75.35,"Male","Millenial","No",4,"Yes","Fiber optic","No","Month-to-month","No","Electronic check"
"Yes",48.55,"Male","Gen Z","No",1,"Yes","DSL_16MB/S","No","Month-to-month","Yes","PrePaid"
"No",99,"Male","Gen Z","No",42,"Yes","Fiber optic","Yes","One year","Yes","Electronic check"
"No",93.5,"Female","Gen Z","Yes",51,"Yes","Fiber optic","No","One year","Yes","Electronic check"
"Yes",40.2,"Male","Millenial","Yes",1,"No","DSL_16MB/S","No","Month-to-month","No","Electronic check"
"No",83.7,"Male","Gen Z","No",32,"Yes","DSL_16MB/S","Yes","One year","No","Credit card (automatic)"
"No",19.85,"Male","Gen Z","No",10,"Yes","Base DSL_16MB/S","No","Month-to-month","Yes","PrePaid"
"No",59.55,"Female","Gen Z","Yes",67,"No","DSL_16MB/S","No","Two year","Yes","Electronic check"
"No",115.1,"Female","Gen Z","Yes",61,"Yes","Fiber optic","Yes","Two year","No","Credit card (automatic)"
"No",114.35,"Male","Gen Z","No",50,"Yes","Fiber optic","Yes","One year","No","Credit card (automatic)"
"Yes",44.6,"Female","Gen Z","Yes",2,"Yes","DSL_16MB/S","No","Month-to-month","Yes","Credit card (automatic)"
"No",45,"Female","Millenial","Yes",29,"No","DSL_16MB/S","No","Month-to-month","Yes","Electronic check"
"Yes",41.15,"Male","Millenial","No",3,"No","DSL_16MB/S","No","Month-to-month","Yes","Electronic check"
"No",89.85,"Male","Millenial","Yes",57,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",49.85,"Female","Gen Z","No",31,"No","DSL_16MB/S","No","Two year","Yes","Bank transfer (automatic)"
"No",88.1,"Female","Gen Z","Yes",61,"Yes","DSL_16MB/S","Yes","Two year","No","PrePaid"
"No",24.9,"Male","Gen Z","No",50,"Yes","Base DSL_16MB/S","Yes","Two year","No","Bank transfer (automatic)"
"No",105,"Female","Millenial","No",19,"Yes","Fiber optic","No","Month-to-month","Yes","PrePaid"
"No",24.25,"Female","Gen Z","Yes",71,"Yes","Base DSL_16MB/S","Yes","Two year","Yes","Credit card (automatic)"
"Yes",94.45,"Female","Millenial","No",16,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"No",59.75,"Male","Gen Z","Yes",57,"Yes","DSL_16MB/S","No","Two year","Yes","Electronic check"
"Yes",70.6,"Male","Gen Z","No",1,"Yes","Fiber optic","No","Month-to-month","No","PrePaid"
"Yes",85.4,"Male","Gen Z","Yes",5,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"Yes",105.05,"Female","Gen Z","Yes",52,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",55,"Male","Gen Z","No",14,"No","DSL_16MB/S","No","Month-to-month","Yes","Electronic check"
"No",55.15,"Female","Gen Z","No",6,"Yes","DSL_16MB/S","No","Month-to-month","No","PrePaid"
"No",51.2,"Female","Gen Z","No",10,"Yes","DSL_16MB/S","No","Month-to-month","No","Electronic check"
"No",25.4,"Female","Gen Z","No",1,"Yes","Base DSL_16MB/S","Yes","Month-to-month","No","PrePaid"
"No",54.45,"Female","Gen Z","No",68,"Yes","DSL_16MB/S","Yes","Month-to-month","No","PrePaid"
"No",76,"Female","Gen Z","No",22,"Yes","Fiber optic","Yes","One year","Yes","Credit card (automatic)"
"Yes",74.5,"Male","Millenial","No",8,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"Yes",44.85,"Male","Gen Z","No",10,"Yes","DSL_16MB/S","No","Month-to-month","Yes","Credit card (automatic)"
"Yes",76.1,"Male","Millenial","No",24,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",61.2,"Male","Gen Z","No",35,"Yes","DSL_16MB/S","No","One year","No","PrePaid"
"No",89.35,"Female","Millenial","No",6,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"No",20.25,"Male","Gen Z","No",1,"Yes","Base DSL_16MB/S","No","Month-to-month","No","PrePaid"
"No",76.05,"Female","Gen Z","Yes",71,"Yes","Fiber optic","No","Two year","No","Electronic check"
"No",100.8,"Male","Millenial","Yes",35,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",74.55,"Male","Gen Z","Yes",40,"Yes","DSL_16MB/S","Yes","Month-to-month","Yes","Electronic check"
"Yes",73.6,"Female","Gen Z","No",1,"Yes","Fiber optic","No","Month-to-month","Yes","PrePaid"
"No",64.9,"Male","Gen Z","No",23,"Yes","DSL_16MB/S","No","One year","Yes","Bank transfer (automatic)"
"No",90.4,"Male","Gen Z","No",4,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"No",60.3,"Female","Gen Z","Yes",68,"No","DSL_16MB/S","No","Two year","No","Credit card (automatic)"
"No",81.85,"Male","Gen Z","No",38,"Yes","Fiber optic","Yes","Month-to-month","Yes","PrePaid"
"Yes",74.9,"Male","Millenial","Yes",32,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",19.25,"Female","Gen Z","No",1,"Yes","Base DSL_16MB/S","No","Month-to-month","Yes","Bank transfer (automatic)"
"No",69.35,"Female","Millenial","Yes",5,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"No",110.05,"Male","Gen Z","Yes",51,"Yes","Fiber optic","Yes","One year","No","Credit card (automatic)"
"No",19.9,"Male","Gen Z","No",71,"Yes","Base DSL_16MB/S","No","Two year","Yes","Credit card (automatic)"
"Yes",80.3,"Female","Gen Z","Yes",38,"Yes","DSL_16MB/S","No","One year","No","Credit card (automatic)"
"Yes",93.15,"Male","Millenial","Yes",24,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"No",91.5,"Male","Gen Z","Yes",35,"Yes","Fiber optic","Yes","Month-to-month","Yes","Credit card (automatic)"
"Yes",82.45,"Female","Millenial","No",54,"Yes","DSL_16MB/S","Yes","One year","No","Bank transfer (automatic)"
"No",44.8,"Male","Gen Z","No",1,"Yes","DSL_16MB/S","No","Month-to-month","Yes","Electronic check"
"No",48.6,"Female","Gen Z","Yes",9,"Yes","DSL_16MB/S","No","One year","No","PrePaid"
"No",60.05,"Male","Gen Z","No",69,"No","DSL_16MB/S","No","Two year","Yes","Bank transfer (automatic)"
"No",102.7,"Female","Gen Z","Yes",52,"Yes","Fiber optic","Yes","Month-to-month","Yes","Credit card (automatic)"
"No",82.9,"Female","Millenial","Yes",11,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"No",82.65,"Female","Millenial","No",17,"Yes","Fiber optic","Yes","Month-to-month","Yes","Credit card (automatic)"
"No",19.85,"Female","Gen Z","Yes",35,"Yes","Base DSL_16MB/S","No","Two year","Yes","PrePaid"
"No",19.2,"Female","Gen Z","No",8,"Yes","Base DSL_16MB/S","No","One year","Yes","PrePaid"
"No",94.9,"Male","Gen Z","No",46,"Yes","Fiber optic","Yes","One year","Yes","Credit card (automatic)"
"Yes",73.85,"Female","Gen Z","No",7,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"Yes",80.6,"Female","Gen Z","No",2,"Yes","Fiber optic","Yes","Month-to-month","No","PrePaid"
"No",88.15,"Female","Gen Z","No",68,"Yes","DSL_16MB/S","Yes","Two year","Yes","Electronic check"
"No",94.8,"Female","Gen Z","No",36,"Yes","Fiber optic","No","Month-to-month","Yes","Credit card (automatic)"
"Yes",103.4,"Male","Gen Z","Yes",63,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",85.75,"Female","Gen Z","Yes",71,"Yes","DSL_16MB/S","Yes","Two year","No","Credit card (automatic)"
"No",67.45,"Female","Gen Z","Yes",66,"Yes","DSL_16MB/S","Yes","Month-to-month","Yes","Bank transfer (automatic)"
"No",20.5,"Male","Gen Z","No",63,"Yes","Base DSL_16MB/S","No","One year","No","PrePaid"
"No",20.25,"Female","Gen Z","No",41,"Yes","Base DSL_16MB/S","No","One year","Yes","Credit card (automatic)"
"No",19.45,"Female","Gen Z","Yes",70,"Yes","Base DSL_16MB/S","No","Two year","No","Bank transfer (automatic)"
"No",97,"Female","Millenial","Yes",64,"Yes","Fiber optic","No","One year","No","Bank transfer (automatic)"
"No",62.8,"Male","Gen Z","Yes",37,"Yes","DSL_16MB/S","Yes","Two year","Yes","Credit card (automatic)"
"No",44.6,"Male","Gen Z","No",17,"Yes","DSL_16MB/S","No","One year","No","PrePaid"
"No",89.15,"Female","Millenial","No",7,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"Yes",84.8,"Male","Gen Z","Yes",4,"Yes","Fiber optic","Yes","Month-to-month","Yes","Bank transfer (automatic)"
"No",105.25,"Male","Gen Z","Yes",64,"Yes","Fiber optic","Yes","Two year","Yes","Electronic check"
"Yes",30.75,"Male","Millenial","Yes",27,"No","DSL_16MB/S","No","Month-to-month","No","Credit card (automatic)"
"No",97.1,"Male","Gen Z","Yes",42,"Yes","Fiber optic","Yes","One year","No","Electronic check"
"No",20.2,"Male","Gen Z","No",5,"Yes","Base DSL_16MB/S","No","Month-to-month","No","PrePaid"
"No",98.8,"Female","Gen Z","No",41,"Yes","Fiber optic","No","Two year","Yes","Bank transfer (automatic)"
"No",50.3,"Male","Gen Z","Yes",58,"Yes","DSL_16MB/S","No","One year","No","Credit card (automatic)"
"No",20.55,"Female","Gen Z","No",47,"Yes","Base DSL_16MB/S","No","Two year","Yes","PrePaid"
"No",75.9,"Male","Gen Z","No",18,"Yes","Fiber optic","No","Month-to-month","Yes","Bank transfer (automatic)"
"Yes",96.5,"Male","Gen Z","No",5,"Yes","Fiber optic","No","Month-to-month","No","Bank transfer (automatic)"
"No",19.15,"Female","Gen Z","No",1,"Yes","Base DSL_16MB/S","No","Month-to-month","No","PrePaid"
